Company,Date,Close/Last,Volume,Open,High,Low
AAPL,2023-07-17,193.99,50520160,191.90,194.32,191.81
AAPL,2023-07-14,190.69,41616240,190.23,191.18,189.63
AAPL,2023-07-13,190.54,41342340,190.50,191.19,189.78
AAPL,2023-07-12,189.77,60750250,189.68,191.70,188.47
AAPL,2023-07-11,188.08,46638120,189.16,189.30,186.60
AAPL,2023-07-10,188.61,59922160,189.26,189.99,187.04
AAPL,2023-07-07,190.68,46815000,191.41,192.67,190.24
AAPL,2023-07-06,191.81,45156010,189.84,192.02,189.20
AAPL,2023-07-05,191.33,46920260,191.57,192.98,190.62
AAPL,2023-07-03,192.46,31346600,193.78,193.88,191.76
AAPL,2023-06-30,193.97,85213220,191.63,194.48,191.26
AAPL,2023-06-29,189.59,46347310,189.08,190.07,188.94
AAPL,2023-06-28,189.25,51216800,187.93,189.90,187.60
AAPL,2023-06-27,188.06,50730850,185.89,188.39,185.67
AAPL,2023-06-26,185.27,48088660,186.83,188.05,185.23
AAPL,2023-06-23,186.68,53117000,185.55,187.56,185.01
AAPL,2023-06-22,187.00,51245330,183.74,187.05,183.67
AAPL,2023-06-21,183.96,49515700,184.90,185.41,182.59
AAPL,2023-06-20,185.01,49799090,184.41,186.10,184.41
AAPL,2023-06-16,184.92,101256200,186.73,186.99,184.27
AAPL,2023-06-15,186.01,65433170,183.96,186.52,183.78
AAPL,2023-06-14,183.95,57462880,183.37,184.39,182.02
AAPL,2023-06-13,183.31,54929130,182.80,184.15,182.44
AAPL,2023-06-12,183.79,54755000,181.27,183.89,180.97
AAPL,2023-06-09,180.96,48899970,181.50,182.23,180.63
AAPL,2023-06-08,180.57,50214880,177.90,180.84,177.46
AAPL,2023-06-07,177.82,61944620,178.44,181.21,177.32
AAPL,2023-06-06,179.21,64848370,179.97,180.12,177.43
AAPL,2023-06-05,179.58,121946500,182.63,184.95,178.04
AAPL,2023-06-02,180.95,61996910,181.03,181.78,179.26
AAPL,2023-06-01,180.09,68901810,177.70,180.12,176.93
AAPL,2023-05-31,177.25,99625290,177.33,179.35,176.76
AAPL,2023-05-30,177.30,55964400,176.96,178.99,176.57
AAPL,2023-05-26,175.43,54834980,173.32,175.77,173.11
AAPL,2023-05-25,172.99,56058260,172.41,173.90,171.69
AAPL,2023-05-24,171.84,45143490,171.09,172.42,170.52
AAPL,2023-05-23,171.56,50747260,173.13,173.38,171.28
AAPL,2023-05-22,174.20,43570930,173.98,174.71,173.45
AAPL,2023-05-19,175.16,55809480,176.39,176.39,174.94
AAPL,2023-05-18,175.05,65496660,173.00,175.24,172.58
AAPL,2023-05-17,172.69,57951600,171.71,172.93,170.42
AAPL,2023-05-16,172.07,42110290,171.99,173.14,171.80
AAPL,2023-05-15,172.07,37266660,173.16,173.21,171.47
AAPL,2023-05-12,172.57,45533140,173.62,174.06,171.00
AAPL,2023-05-11,173.75,49514680,173.85,174.59,172.17
AAPL,2023-05-10,173.56,53724500,173.02,174.03,171.90
AAPL,2023-05-09,171.77,45326870,173.05,173.54,171.60
AAPL,2023-05-08,173.50,55962790,172.48,173.85,172.11
AAPL,2023-05-05,173.57,113453200,170.98,174.30,170.76
AAPL,2023-05-04,165.79,81235430,164.89,167.04,164.31
AAPL,2023-05-03,167.45,65136020,169.50,170.92,167.16
AAPL,2023-05-02,168.54,48425700,170.09,170.35,167.54
